"","antorbital","articular/anguloarticular","ascending process of the parasphenoid","basibranchial 4 tooth","basibranchial 4 tooth plate","basibranchial tooth plate","basihyal tooth","basihyal tooth plate","caudal-fin hook","caudal-fin stay","entopterygoid vertical strut","extrascapula","infraorbital 1","infraorbital 3","infraorbital 4","infraorbital 5","infraorbital 6","mandibular symphyseal tooth","nasal bone","palatine bone","pharyngobranchial 2 tooth","pharyngobranchial 2 tooth plate","pharyngobranchial 3 tooth","postcleithrum 1","postcleithrum 2","postcleithrum 3","posttemporal","premaxilla ascending process","procumbent dorsal fin spine","supramaxilla","supraorbital bone","suprapreopercle","upper pharyngeal 4 tooth","upper pharyngeal 5 tooth","upper pharyngeal tooth","urohyal lateral process"
"antorbital",1,0.761194029850746,0.565714285714286,0.420814479638009,0.795275590551181,0.72972972972973,0.854700854700855,0.847457627118644,0.847457627118644,0.704545454545455,0.624,0.854700854700855,0.340425531914894,0.847457627118644,0.847457627118644,0.342857142857143,0.704347826086957,0.395939086294416,0.698275862068966,0.393939393939394,0.393939393939394,0.395939086294416,0.38659793814433,0.393939393939394,0.710526315789474,0.710526315789474,0.397959183673469,0.847457627118644,0.65546218487395,0.276422764227642,0.619047619047619,0.619047619047619,0.619047619047619,0.234848484848485,0.617647058823529,0.607692307692308
"articular/anguloarticular",0.761194029850746,1,0.620111731843575,0.460176991150442,0.921259842519685,0.637795275590551,0.75187969924812,0.746268656716418,0.746268656716418,0.628378378378378,0.553191489361702,0.75187969924812,0.443661971830986,0.746268656716418,0.746268656716418,0.426573426573427,0.630769230769231,0.372641509433962,0.625954198473282,0.370892018779343,0.370892018779343,0.372641509433962,0.357142857142857,0.370892018779343,0.635658914728682,0.635658914728682,0.374407582938389,0.746268656716418,0.577777777777778,0.253623188405797,0.549295774647887,0.549295774647887,0.549295774647887,0.209459459459459,0.583892617449664,0.541095890410959
"ascending process of the parasphenoid",0.565714285714286,0.620111731843575,1,0.579399141630901,0.649122807017544,0.473053892215569,0.566473988439306,0.563218390804598,0.563218390804598,0.484042553191489,0.435754189944134,0.566473988439306,0.299465240641711,0.563218390804598,0.563218390804598,0.301075268817204,0.470588235294118,0.48868778280543,0.467836257309941,0.486486486486487,0.486486486486487,0.48868778280543,0.488479262672811,0.486486486486487,0.473372781065089,0.473372781065089,0.490909090909091,0.563218390804598,0.450867052023121,0.17877094972067,0.433333333333333,0.433333333333333,0.433333333333333,0.166666666666667,0.427083333333333,0.429347826086957
"basibranchial 4 tooth",0.420814479638009,0.460176991150442,0.579399141630901,1,0.477064220183486,0.361904761904762,0.426605504587156,0.424657534246575,0.424657534246575,0.375,0.331838565022422,0.426605504587156,0.316279069767442,0.424657534246575,0.424657534246575,0.317757009345794,0.355140186915888,0.757142857142857,0.353488372093023,0.753554502369668,0.753554502369668,0.757142857142857,0.753623188405797,0.753554502369668,0.356807511737089,0.356807511737089,0.760765550239234,0.424657534246575,0.334862385321101,0.183962264150943,0.330357142857143,0.330357142857143,0.330357142857143,0.16289592760181,0.395555555555556,0.323144104803493
"basibranchial 4 tooth plate",0.795275590551181,0.921259842519685,0.649122807017544,0.477064220183486,1,0.680672268907563,0.8,0.793650793650794,0.793650793650794,0.664285714285714,0.586466165413534,0.8,0.448529411764706,0.793650793650794,0.793650793650794,0.451851851851852,0.658536585365854,0.380487804878049,0.653225806451613,0.378640776699029,0.378640776699029,0.380487804878049,0.371287128712871,0.378640776699029,0.663934426229508,0.663934426229508,0.382352941176471,0.793650793650794,0.614173228346457,0.259541984732824,0.582089552238806,0.582089552238806,0.582089552238806,0.221428571428571,0.583333333333333,0.572463768115942
"basibranchial tooth plate",0.72972972972973,0.637795275590551,0.473053892215569,0.361904761904762,0.680672268907563,1,0.75,0.743119266055046,0.743119266055046,0.698275862068966,0.785714285714286,0.75,0.238461538461538,0.743119266055046,0.743119266055046,0.24031007751938,0.909090909090909,0.436046511627907,0.898876404494382,0.433526011560694,0.433526011560694,0.436046511627907,0.42603550295858,0.433526011560694,0.919540229885057,0.919540229885057,0.43859649122807,0.743119266055046,0.83695652173913,0.316326530612245,0.777777777777778,0.777777777777778,0.777777777777778,0.25,0.6,0.740384615384615
"basihyal tooth",0.854700854700855,0.75187969924812,0.566473988439306,0.426605504587156,0.8,0.75,1,0.972477064220184,0.972477064220184,0.734375,0.652892561983471,0.981481481481482,0.338129496402878,0.972477064220184,0.972477064220184,0.340579710144928,0.723214285714286,0.394871794871795,0.716814159292035,0.392857142857143,0.392857142857143,0.394871794871795,0.385416666666667,0.392857142857143,0.72972972972973,0.72972972972973,0.396907216494845,0.972477064220184,0.672413793103448,0.272727272727273,0.647540983606557,0.647540983606557,0.647540983606557,0.230769230769231,0.619402985074627,0.622047244094488
"basihyal tooth plate",0.847457627118644,0.746268656716418,0.563218390804598,0.424657534246575,0.793650793650794,0.743119266055046,0.972477064220184,1,0.981651376146789,0.728682170542636,0.647540983606557,0.972477064220184,0.335714285714286,0.981651376146789,0.981651376146789,0.338129496402878,0.716814159292035,0.392857142857143,0.710526315789474,0.390862944162437,0.390862944162437,0.392857142857143,0.383419689119171,0.390862944162437,0.723214285714286,0.723214285714286,0.394871794871795,0.981651376146789,0.666666666666667,0.270491803278689,0.642276422764228,0.642276422764228,0.642276422764228,0.229007633587786,0.614814814814815,0.6171875
"caudal-fin hook",0.847457627118644,0.746268656716418,0.563218390804598,0.424657534246575,0.793650793650794,0.743119266055046,0.972477064220184,0.981651376146789,1,0.728682170542636,0.647540983606557,0.972477064220184,0.335714285714286,0.981651376146789,0.981651376146789,0.338129496402878,0.716814159292035,0.392857142857143,0.710526315789474,0.390862944162437,0.390862944162437,0.392857142857143,0.383419689119171,0.390862944162437,0.723214285714286,0.723214285714286,0.394871794871795,0.981651376146789,0.666666666666667,0.270491803278689,0.642276422764228,0.642276422764228,0.642276422764228,0.229007633587786,0.614814814814815,0.6171875
"caudal-fin stay",0.704545454545455,0.628378378378378,0.484042553191489,0.375,0.664285714285714,0.698275862068966,0.734375,0.728682170542636,0.728682170542636,1,0.793103448275862,0.734375,0.26797385620915,0.728682170542636,0.728682170542636,0.269736842105263,0.675,0.372549019607843,0.669421487603306,0.370731707317073,0.370731707317073,0.372549019607843,0.36318407960199,0.370731707317073,0.680672268907563,0.680672268907563,0.374384236453202,0.728682170542636,0.629032258064516,0.246153846153846,0.786324786324786,0.786324786324786,0.786324786324786,0.20863309352518,0.618705035971223,0.585185185185185
