"","taxa","otu","otus","anterior dentation of pectoral fin spine","anterior distal serration of pectoral fin spine","anterior limb of parapophysis 4","anterior nuchal plate","arch of atlas","basipterygium bone","centrum 1","distal cartilage of external anterior process of basipterygium","distal cartilage of internal anterior process of basipterygium","distal cartilage of posterior process of basipterygium","entopterygoid vertical strut","epibranchial 2 bone uncinate process","epibranchial 4 bone uncinate process","epioccipital posterior process","external anterior process of basipterygium","hypobranchial 1 bone distal cartilage","hypobranchial 2 bone distal cartilage","hypurapophysis","intercalarium","internal anterior process of basipterygium","lateral ethmoid palatine process","lateral ethmoid wing","lateral process of basipterygium","mesethmoid cornu","middle anterior process of basipterygium","middle nuchal plate","neural lamina","optic foramen","parapophysis","parapophysis 1","parapophysis 2","parapophysis 4","parapophysis 5","parapophysis 6","pelvic girdle bone/zone","posterior cleithral process","posterior dentation of dorsal fin spine 2","posterior dentation of pectoral fin spine","posterior limb of parapophysis 4","posterior nuchal plate","posterior process of basipterygium","posttemporal fossa","preopercle horizontal limb","quadrate dorsal process","quadrate ventral process","scaphium","sphenotic spine","superficial ophthalmic nerve foramen","supraoccipital crest","transverse process of atlas","type 1 odontode","urohyal lateral process","urohyal median process","uroneural","Weberian complex centrum","zygapophysis"
"1","Acanthicus hystrix","VTO_0059975","t6abf9436-7a24-4b98-8447-177c6f39540e","1 and 0",NA,"0","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1 and 0",NA,"1","1",NA,"1 and 0","0","0","1 and 0","1 and 0","0","1","1",NA,NA,"0","1","1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"2","Acanthobunocephalus nicoi","VTO_0059348","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"0","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"0",NA,"1","1",NA,"1 and 0","0","0","1 and 0","1 and 0","0","1","1",NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"3","Acanthocleithron chapini","VTO_0061854","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"0",NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"4","Acentronichthys leptos","VTO_0035629","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","0",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"5","Acentronichthys sp. n. B (Bockmann 1998)","VTO_0060892","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,"0 and 1","1",NA,"1",NA,NA,"1",NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"6","Acrochordonichthys ischnosoma","VTO_0061312","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"7","Acrochordonichthys pachyderma","VTO_0061314","t6abf9436-7a24-4b98-8447-177c6f39540e","1 and 0",NA,"1","0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"1","1",NA,NA,"1 and 0",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"8","Acrochordonichthys rugosus","VTO_0035553","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","0 and 1",NA,NA,"1",NA,"0",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"9","Acrochordonichthys sp. (de Pinna 1993)","VTO_0061318","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","0 and 1",NA,NA,"1",NA,"0",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"10","Agamyxis albomaculatus","VTO_0036705","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1","1",NA,"1",NA,"1","1",NA,"0",NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,"1","1",NA,NA,"1","0",NA,"1","1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
