"","anterior dentation of pectoral fin spine size pectoral fin spine","dorsal cleithrum fused with pectoral fin spine","dorsal cleithrum separated from pectoral fin spine","dorsal cleithrum unfused from pectoral fin spine","dorsal fin spine 1 size pectoral fin spine","dorsal fin spine 2 decreased length pectoral fin spine","dorsal fin spine 2 increased length pectoral fin spine","pectoral fin spine and (part_of some male organism) elongated","pectoral fin spine and (part_of some male organism) shape and (not (elongated))","pectoral fin spine and (part_of some male organism) size pectoral fin spine and (part_of some female organism)","pectoral fin spine and (part_of some male organism) size pectoral fin spine and (part_of some female organism)","pectoral fin spine articulated with scapulocoracoid","pectoral fin spine attached to bony plate","pectoral fin spine banded","pectoral fin spine composition","pectoral fin spine curved","pectoral fin spine decreased curvature","pectoral fin spine decreased length","pectoral fin spine decreased size","pectoral fin spine increased curvature","pectoral fin spine increased length","pectoral fin spine increased size","pectoral fin spine low brightness","pectoral fin spine platelike","pectoral fin spine present","pectoral fin spine recurved","pectoral fin spine separated from bony plate","pectoral fin spine serrated","pectoral fin spine shape","pectoral fin spine size","pectoral fin spine size branched pectoral fin ray","pectoral fin spine size multicellular organism","pectoral fin spine straight","pectoral fin spine structure","pectoral fin spine texture","pectoral fin spine tightly articulated with scapulocoracoid","pectoral fin spine unpigmented","pectoral fin spine unserrated","posterior dentation of pectoral fin spine structure pectoral fin spine","ventral cleithrum fused with pectoral fin spine","ventral cleithrum separated from pectoral fin spine","ventral cleithrum unfused from pectoral fin spine"
"anterior dentation of pectoral fin spine size pectoral fin spine",1,0.875555555555556,0.875555555555556,0.875555555555556,0.826359832635983,0.807770961145194,0.812757201646091,0,0,0,0,0.870044052863436,0.866228070175439,0.887387387387387,0.891647855530474,0.887640449438202,0.875831485587583,0.878048780487805,0.891891891891892,0.875831485587583,0.88,0.891891891891892,0.887387387387387,0.883668903803132,0.88314606741573,0.883668903803132,0.868131868131868,0.881696428571429,0.893665158371041,0.904109589041096,0.885906040268456,0.9,0.88963963963964,0.895691609977324,0.899772209567198,0.866228070175439,0.88963963963964,0.881696428571429,0.964705882352941,0.875555555555556,0.875555555555556,0.875555555555556
"dorsal cleithrum fused with pectoral fin spine",0.875555555555556,1,0.990654205607477,0.990654205607477,0.835416666666667,0.816700610997963,0.82172131147541,0,0,0,0,0.912946428571429,0.887912087912088,0.905405405405405,0.914027149321267,0.90561797752809,0.893569844789357,0.891592920353982,0.90561797752809,0.893569844789357,0.893569844789357,0.90561797752809,0.905405405405405,0.901565995525727,0.901123595505618,0.901565995525727,0.889867841409692,0.899553571428571,0.911764705882353,0.917995444191344,0.899553571428571,0.913832199546485,0.907657657657658,0.918181818181818,0.917995444191344,0.908888888888889,0.91196388261851,0.899553571428571,0.881696428571429,0.972222222222222,0.967667436489607,0.967667436489607
"dorsal cleithrum separated from pectoral fin spine",0.875555555555556,0.990654205607477,1,0.990654205607477,0.835416666666667,0.816700610997963,0.82172131147541,0,0,0,0,0.912946428571429,0.887912087912088,0.905405405405405,0.914027149321267,0.90561797752809,0.893569844789357,0.891592920353982,0.90561797752809,0.893569844789357,0.893569844789357,0.90561797752809,0.905405405405405,0.901565995525727,0.901123595505618,0.901565995525727,0.894039735099338,0.899553571428571,0.911764705882353,0.917995444191344,0.899553571428571,0.913832199546485,0.907657657657658,0.918181818181818,0.917995444191344,0.908888888888889,0.91196388261851,0.899553571428571,0.881696428571429,0.967667436489607,0.972222222222222,0.967667436489607
"dorsal cleithrum unfused from pectoral fin spine",0.875555555555556,0.990654205607477,0.990654205607477,1,0.835416666666667,0.816700610997963,0.82172131147541,0,0,0,0,0.912946428571429,0.887912087912088,0.905405405405405,0.914027149321267,0.90561797752809,0.893569844789357,0.891592920353982,0.90561797752809,0.893569844789357,0.893569844789357,0.90561797752809,0.905405405405405,0.901565995525727,0.901123595505618,0.901565995525727,0.889867841409692,0.899553571428571,0.911764705882353,0.917995444191344,0.899553571428571,0.913832199546485,0.907657657657658,0.918181818181818,0.917995444191344,0.908888888888889,0.91196388261851,0.899553571428571,0.881696428571429,0.967667436489607,0.967667436489607,0.972222222222222
"dorsal fin spine 1 size pectoral fin spine",0.826359832635983,0.835416666666667,0.835416666666667,0.835416666666667,1,0.947145877378435,0.953191489361702,0,0,0,0,0.845833333333333,0.842323651452282,0.861702127659574,0.865671641791045,0.861995753715499,0.851153039832285,0.853249475890985,0.865957446808511,0.851153039832285,0.855042016806723,0.865957446808511,0.861702127659574,0.858350951374207,0.857749469214437,0.858350951374207,0.844074844074844,0.856540084388186,0.867521367521368,0.877155172413793,0.86046511627907,0.873390557939914,0.863829787234043,0.869379014989293,0.873118279569893,0.842323651452282,0.863829787234043,0.856540084388186,0.824267782426778,0.835416666666667,0.835416666666667,0.835416666666667
"dorsal fin spine 2 decreased length pectoral fin spine",0.807770961145194,0.816700610997963,0.816700610997963,0.816700610997963,0.947145877378435,1,0.9723991507431,0,0,0,0,0.826883910386965,0.823529411764706,0.841995841995842,0.845833333333333,0.842323651452282,0.847107438016529,0.872384937238494,0.865546218487395,0.839506172839506,0.854771784232365,0.853862212943633,0.841995841995842,0.838842975206612,0.841995841995842,0.838842975206612,0.82520325203252,0.837113402061856,0.847599164926931,0.856842105263158,0.840909090909091,0.853249475890985,0.844074844074844,0.849372384937239,0.852941176470588,0.823529411764706,0.844074844074844,0.837113402061856,0.805725971370143,0.816700610997963,0.816700610997963,0.816700610997963
"dorsal fin spine 2 increased length pectoral fin spine",0.812757201646091,0.82172131147541,0.82172131147541,0.82172131147541,0.953191489361702,0.9723991507431,1,0,0,0,0,0.831967213114754,0.828571428571429,0.847280334728033,0.851153039832285,0.847599164926931,0.84472049689441,0.858333333333333,0.859243697478992,0.852390852390852,0.875789473684211,0.871035940803383,0.847280334728033,0.844074844074844,0.847280334728033,0.844074844074844,0.830265848670757,0.842323651452282,0.852941176470588,0.86228813559322,0.846153846153846,0.858649789029536,0.849372384937239,0.854736842105263,0.858350951374207,0.828571428571429,0.849372384937239,0.842323651452282,0.810699588477366,0.82172131147541,0.82172131147541,0.82172131147541
"pectoral fin spine and (part_of some male organism) elongated",0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pectoral fin spine and (part_of some male organism) shape and (not (elongated))",0,0,0,0,0,0,0,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pectoral fin spine and (part_of some male organism) size pectoral fin spine and (part_of some female organism)",0,0,0,0,0,0,0,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
